OKB	235.51972	1519	162.60563	428	69.87	101.2
DOT	4.883676	2999	2.90639	752	63.59	106.86
XLM	0.10887	1736	0.05942	1032	65.21	112.77
AAVE	85.78506	2783	22.84074	1022	65.81	110.54
FIL	6.104996	2869	1.87398	1145	65.77	107.28
ETC	18.41912	3015	7.47768	1134	66.39	104.97
LTC	97.62177	1736	36.50763	1028	67.52	106.91
LDO	1.01594	2971	0.38699	1138	67.35	104.27
CRV	0.32748	2971	0.1234	1138	67.49	104.32
UNI	5.14596	2971	1.93999	1138	68.1	104.21
STX	0.89828	2883	0.34999	1053	68.89	104.28
CFX	0.10899	2787	0.03935	1141	68.83	106.08
APT	5.96496	2987	2.21699	1046	69.91	105.29
NEAR	3.20797	2987	1.1837	1046	70.63	105.49
CRO	0.08195	2923	0.03212	1133	71.51	103.74
TRX	0.24981	2923	0.10206	1133	70.98	103.52
LINK	16.40148	2923	5.91976	1133	71.49	103.49
BNB	610.44531	1616	223.45312	1032	72.09	103.57
SUI	1.84883	2923	0.6837	1133	73.16	103.58
XRP	0.6498	1714	0.28531	1141	72.87	103.26
ADA	0.55948	1714	0.19958	1144	73.85	103.22
DOGE	0.15982	1714	0.05899	1144	73.85	103.05
SOL	169.66499	2923	63.67812	1133	75.05	103.29
HBAR	0.08082	1726	0.03063	1144	75.56	103.15
BTC	111935	1726	40993.90625	1144	75.79	103.12
BCH	356.64062	1714	153.375	1144	76.46	102.95
ETH	3421.78	1726	1290.03003	1144	77.42	103.14
TON	5.3035	2923	2.16719	1133	79.12	103.4
TAO	357.38	2979	151.88461	1057	83.87	105.85
